content,good_bad
"폐지줍던 무식한 애들이 갑자기 똑똑하고 싸움잘하는 중간보스로 변신. 거기다 불필요한 노출씬들. 딱 삼류영화다 평점에 속지맙시다 
			
			
			
				
				
				
				",1
"드라마 자이언트보다 못 한 영화....휴...킬링타임 그이상 이하도 아님 
			
			
			
				
				
				
				",1
"이영화주제에서 주인공분들이 너무 아까워요.ㅠㅠ허무하고 감동이 썩.,..워낙 주인공분들께서 연기를 너무 잘하셨는데ㅠ영화내용이  음... 
			
			
			
				
				
				
				",1
"조합이안됩니다처음부터 끝~~~~까지 
			
			
			
				
				
				
				",1
"내 기대가 너무 과했나.. 
			
			
			
				
				
				
				",1
"평점 조작 진짜 너무하네ㅋㅋㅋ 
			
			
			
				
				
				
				",1
"너무 잔인하다. 배신도 많고.. 
			
			
			
				
				
				
				",1
"다 알바들이신가... 
			
			
			
				
				
				
				",1
"잼없음~ ~기대이하  10자 
			
			
			
				
				
				
				",1
"ㅋㅋㅋ 이게 재밋다고요? 
			
			
			
				
				
				
				",1
"쓰레기 영화. 보고나서 후회되는 영화중에 하나. 
			
			
			
				
				
				
				",1
"이민호 연기 되게 못한다 
			
			
			
				
				
				
				",1
"진짜.. 아오.. 후.... 이게 평점이 7이 넘는 거 보면 10점 알바를 수십만명 정도 풀었다는 얘긴가.? 뭐라 설명하기도 귀찮다 이딴영화. 
			
			
			
				
				
				
				",1
"반개도 아깝다. 폭력과 배신 만 남는 막장 드라마 
			
			
			
				
				
				
				",1
"예고편하고 영화소개를 보고 내용을 짐작했는데 실제로 보니 완전 다르네요. 거짓홍보라... 영화는 재미있었는데... 
			
			
			
				
				
				
				",1
"시간 돈 아까움 굉장히 조잡함 10점을 줬다면 그냥 배우 인기 
			
			
			
				
				
				
				",1
"조금 잔인한게 많네여.. 
			
			
			
				
				
				
				",1
"솔직히 말하면 재미 없습니다. 몇몇 빼고는 연기가 너무 어색함.. 
			
			
			
				
				
				
				",1
"결말개노답 ㅡ.ㅡ,.씨발 
			
			
			
				
				
				
				",1
"유하감독님. 봉준호,박찬욱 감독님과더불어 감독님 작품들 아주 좋아하고 이번작품 기대치없는 이민호씨가 주연이지만  감독님을 믿었는데 정말 너무 실망입니다. 감독님 작품이 아닌듯... 이전에 저력을  다음작품에선 다시 보여주시기 바랍니다. 
			
			
			
				
				
				
				",1
"시종일관 무슨이야기 하는지 모르는 영화. 내용을 너무 짤라내서 지들끼리 희희낙락하고 지들끼리 심각한 영화. 10점 준놈들 거의 알바생. 
			
			
			
				
				
				
				",1
"남자들은 재미있는지 모르겠으나, 여자로선 조폭영화라 잼없다 
			
			
			
				
				
				
				",1
"이 영화 잼있다는 놈들 진심이냐? 
			
			
			
				
				
				
				",1
"이민호가 잘못된건지...감독이 잘못된건지...이민호때문에 밨는데 실망스러움 
			
			
			
				
				
				
				",1
"이제 이런 사회 악같은 영화는 만들지도 보지도 않았으면 한다.너무 잔인하며 이런걸 보는 모든 사람들에게 폭력,살인이 쉽게 느껴질수도있게하는 영화로 보인다. 
			
			
			
				
				
				
				",1
"바람 부는 날엔 강남가시나? 사이비 감독. 
			
			
			
				
				
				
				",1
"이젠 이런 시나리오 안 먹힘... 자극적이고 선정적인  장면으로 감독은 뭘 도대체 얘기하려 한 것일까? 내 돈내고 내 기분 더러워지게 만드는 영화임... 감독님~이제 이런 아무 의미없는 영화 만들지마소... 
			
			
			
				
				
				
				",1
"김래원의 연기를 이민호가 전혀 받아내고 있지 못하다. 전체적으로다 내용의 연관성이 너어어어무약하다. 알바들 쩌네진짜 
			
			
			
				
				
				
				",1
"현재 우리나라 영화의 한계를 보여주는 영화..더 이상 못 보겠더라.. 
			
			
			
				
				
				
				",1
"아음@#@$  ~ 잘잣다~ 
			
			
			
				
				
				
				",1
"별루에요 스토리가 없어쇼 
			
			
			
				
				
				
				",1
"진심이다.돈주고는 보지마라. 
			
			
			
				
				
				
				",1
"너무나도 재미 없는 영화입니다. 
			
			
			
				
				
				
				",1
"아놔 진짜 재미없다, 너무 기대하고 본걸까. 결국은 권력다툼에 희생?ㅋㅁㅁ 어쩌자는 거지?ㅋㅋㅋ 권력이 짱이다?ㅋㅋㅋ 
			
			
			
				
				
				
				",1
"연출이 스토리의 맥을 마구 끊어놓는다 평점알바는 진짜있다 
			
			
			
				
				
				
				",1
"사실 아직 안봤다. 그냥 점수가 마일리지를 원했다. 
			
			
			
				
				
				
				",1
"1점도 높은거 알지?  ㅌㅌㅌ 
			
			
			
				
				
				
				",1
"2015년 중국진출용 질질끌기 르와르 액숀이냐 ㅋㅋ 아 내 시간 아까워.. 진심 이건 아니다.. 
			
			
			
				
				
				
				",1
"분명 상업영화인데 재미가... 
			
			
			
				
				
				
				",1
"이젠 지칠때로 지친 시나리오. 범죄와의 전쟁이나 이거나 별다른게 없다. 멋있는 액션도 스릴있는 전개도 영화적 요소가 낫다. 다만 연기력 좋은  배우들만 보일뿐이다. 남는게 없는 영화다. 
			
			
			
				
				
				
				",1
"그만 만들자 이런거 언제까지 할레 
			
			
			
				
				
				
				",1
"후 ..그저 할말이 없네요 
			
			
			
				
				
				
				",1
"도대체 비열한거리와 차이가 뭐지? 자기욕망때문에 망가져가는 주인공, 거기에 배신때리는 조직원... 영화 비열한거리에 얼토당토 않게 땅이 끼어들어서 쌈박질만.... 
			
			
			
				
				
				
				",1
"완전 알바들만있고만... 이런 배우들데리고 쓰레기영화만듬.ㅋ진짜 이렇게 초점없는영화 처음봄. 전혀기대하지말고 시간때우기용입니다.. 
			
			
			
				
				
				
				",1
"매우 기대 이하 입니다. 
			
			
			
				
				
				
				",1
"기대하고 봤는데 보다 잤어요 .. 
			
			
			
				
				
				
				",1
"니들진짜 너무한거아니냐 
			
			
			
				
				
				
				",1
"정말 진실로 평점 10점 만점 주는게 맞다고 보냐? 영화평은... 굳이 찾아보지 않아도 된다.. 재미 없다...그리고 평점 알바들.. 양심은 가지고 평점 메겨.. 쓰렉들.. 
			
			
			
				
				
				
				",1
"졸작... 잘만든 대학 졸업작품작 수준... 그리고 이민호 연기.... 
			
			
			
				
				
				
				",1
"평점댓글 알바쓰는듯 티가 나네 
			
			
			
				
				
				
				",1
"삼류건달얘기 그만햇으면 좋겟다 지겹지도 않나 
			
			
			
				
				
				
				",1
"유하감독 아직도 조폭영화 찍냐 
			
			
			
				
				
				
				",1
"무슨 교훈이 있지 여기에.. 그냥 지금 기득권 정치세력들은 OOO란 소리 아닌가? 너무 정치적으로 편파된 영화일 뿐이다 
			
			
			
				
				
				
				",1
"영화로 보면 상당히 별로다. 노골적이고 단순하게 쉽게쉽게 넘김. 느와르 워너비그래도 김래원은 돋보임 
			
			
			
				
				
				
				",1
"알바 쓰냐?  칭찬일색이네.  요즘본것중 최악.  재미도없고 감동도 없고 스토리 엉성하고 주제가 뮌지도 모르겠다.  강남을 매개체로 할 이유도 없던거아닌가.  수준낮은 조폭영화.  걍 여기저기 조폭영화 붙여만든 그런느낌 
			
			
			
				
				
				
				",1
"긴줄거리를 짧게하려니 어설펏다 
			
			
			
				
				
				
				",1
"양아치를 영웅화. 지겹지도 않냐? 그냥 쓰레기 3류 무비 
			
			
			
				
				
				
				",1
"같은식의 진행이 계속 반복된다. 그러니 긴장감도 사라지고 나중에 이야기가 뻔히 다 보인다. 그러니 지루해지고... 
			
			
			
				
				
				
				",1
"시간이 남아돌아 어떻게 흘러보내든 가치가 있다고 생각된다면 이 영화를 봐도 된다 
			
			
			
				
				
				
				",1
"1점. 아니 빵점짜리 영화. 영화를 보면서 이렇게 불쾌한 기분이 들기는 또 처음이다. 뭐가 이렇게 허술하냐 모든 면에서... 
			
			
			
				
				
				
				",1
"무간도=공공의적>신세계>>비열한거리>>야인시대>>해바라기=말죽거리잔혹사>>강남 
			
			
			
				
				
				
				",1
"최악영화 개실망.  재미없음 
			
			
			
				
				
				
				",1
"시대에 뒤쳐지는 느낌. 어설픈대사. 어색한 개연성. 뻔한 액션 
			
			
			
				
				
				
				",1
"감독이 대부를 좋아하시는 듯.  재미도없고 보기에 불편하다 
			
			
			
				
				
				
				",1
"절대 보지 마세요.. 시간 아까워서 디져요.. 두 마리의 토끼를 다 잡으려다가.. 본인이 토끼를 잡으려고한건지 늑대인지 여우인지 조차 잊어버린.. 참 속터지는 영화... 
			
			
			
				
				
				
				",1
"졸작 대체 시대가 70년대냐 80년 중반이냐 식사신 국그릇 크기.재질 하나 신경 못쓰고 여관 티브이하며 디테일떨어지면 리얼리티도 안사는거임 배신만하다끝나는 세트는 70년대로 지어노코 소품 배우들은 2000년 수준 땡볕에 비오는액션신  찍느라수고하셨후다 
			
			
			
				
				
				
				",1
"이게 뭔냐 싸움은 무슨 300씬찍냐. 아오 
			
			
			
				
				
				
				",1
"첫장면 둘이 거지옷입고 있을때 꽁트같은느낌났다.어설퍼.. 
			
			
			
				
				
				
				",1
"평탄한 전개..아쉬움..이민호는 멋있었다 
			
			
			
				
				
				
				",1
"정말재밌어요 꼭 보세요 추천! 
			
			
			
				
				
				
				",1
"이딴 영화에 십점주는 인간들은 뭐냐..알바냐? 
			
			
			
				
				
				
				",1
"과거 강남땅 그것제외하면 늘 많이보던 스토리 칼부림 
			
			
			
				
				
				
				",1
"해바라기의 김래원이 왜 이딴 영화 찍었는지 진심 열불난다. 
			
			
			
				
				
				
				",1
"이건 언어도 아니고 개연성 빵점! 
			
			
			
				
				
				
				",1
"영화냐 뭐냐 연기냐 뭐냐 어휴.... 답답다 답다배...왜 평점 0이 없는거냐 
			
			
			
				
				
				
				",1
"정말 맛있는 음식재료를 사용하긴 했으나 정작 만들어진 음식은 엉터리인, 정말 음식재료가 아깝다고 느껴진다. 시도 때도 없이 나오는 섹스신과 폭력신은 감정이입이나 공감보다는 눈살만 찌푸리고 영화는 재미있어라고 보는건데 무슨 보고나니 허무하고 짜증만 남네 
			
			
			
				
				
				
				",1
"아..별루에요. 최근 본 영화 중 최고 별로. 댓글 달기 처음이에요ㅠㅠ 배우의 연기력이 아까워요 ㅠ 
			
			
			
				
				
				
				",1
"진짜 거져 영화 만드는구나 
			
			
			
				
				
				
				",1
"알바들 난리났네 ㅉㅉㅉ 
			
			
			
				
				
				
				",1
"알바들 애쓴다.. 정체가 없는영화 김래원,이민호때문에 2점준다. 
			
			
			
				
				
				
				",1
"70년대 명보극장에서 개봉할 수준의 영화를 2015년에 개봉하다니.. 이건 엄연히 소비자에대한 배때기 쳐불은 충무로의 우롱에 가깝다. 
			
			
			
				
				
				
				",1
"무슨 이야기를 하고 싶은 건지 도통 모르겠다. 
			
			
			
				
				
				
				",1
"영화 신세계 정도의 수준을 기대하고 봤지만...내용도 별 거 없고 야하고 잔인하기만 함...과연 이민호 김래원이 나오지 않았어도 흥행했을까? 시간의 소중함을 알게 해주는 영화 
			
			
			
				
				
				
				",1
"긴말 안겠다 평점 등록할려고 보니 이영화을 좋아하는 평균치가 40대 아줌마들이라고 나오네 티나게 할래 알밥들 
			
			
			
				
				
				
				",1
"감독 배우 다 좋아하는데, 기대가 커서 그런지 좀 별로네요. 런닝타임을 좀 줄였다면 좋았을 듯. 이민호의 연기 변신이 있었다면 하는 아쉬움이.. 전체적으로 7점 초반이 맞는 것 같아서 1점 줍니다. 
			
			
			
				
				
				
				",1
"머 이리 재미 없냐. 내용도 두서가 없고 연기도 별로고 
			
			
			
				
				
				
				",1
"알밥들  엄청 풀었네  무슨  이;민호 연기가  쩔어???     스토리도 엉망에   전개도  엉망  섹스에  쌈박질  끝...  더  없다 
			
			
			
				
				
				
				",1
"한국영화는 아직 한참 멀었다. 1점 주려다 살빼느라 고생한 김래원 때매 1점 더 추가 
			
			
			
				
				
				
				",1
"유하 이 인간 영화는 떡 아니면 쌈질이네. 김기덕 영화는 떡 아니면 엽기던데. 이런 영화 만들거면 그 돈으로 불우이웃 돕기 하면 어떻겠냐? 그게 사회적으로도 인간적으로도 유익하지 않겠나. 
			
			
			
				
				
				
				",1
"모솔 아단데 이런 불필요한 베드신은 자제 좀.. 
			
			
			
				
				
				
				",1
"0개 없나? 한개도 아까운데? 딱 수준알겠네 
			
			
			
				
				
				
				",1
"1점 드리고 갑니다. 시간 낭비 했습니다. 
			
			
			
				
				
				
				",1
"아니 이 연기잘하는 배우들 데리고 뭐하는거야? 특히 김래원을 데리고 이렇게 밖에 활용을 못하다니  새내기 초짜감독도 아니고 .. 끼워팔기 설현은 어설프기 그지 없고 bgm부터 진짜 촌빨 훌훌 날리는 영화.. 단 끝의 현실비판적 앤딩은 마음에 든다. 
			
			
			
				
				
				
				",1
"소재도 괜찮고 배우 연기도 괜찮은데 감독 연출력이 진짜 망친 케이스... 졸작 졸작 졸작 
			
			
			
				
				
				
				",1
"조폭.깡패영화 정말싫다배우들 연기는잘하더라 
			
			
			
				
				
				
				",1
"갱스 오브 강남이 되고 싶었던 유하의 과욕 
			
			
			
				
				
				
				",1
"쓰래기영화네... 평정1점도 아깝다 
			
			
			
				
				
				
				",1
"포스터만 봐도 아 이건 망하겠구나 싶었던 영화였음. 사실 이민호나와서 200만이지 이민호 아니면 150만도 힘든영화임.. 중국에팔아먹어서 손익분기점은넘겼다고 함 
			
			
			
				
				
				
				",1
"영화가 딱 70년대수준 
			
			
			
				
				
				
				",1
"이민호가 등장해서 첫칼들고 사람쑤시는데 꺼리낌없는거부터가 비현실적이라 어이가 없었다 
			
			
			
				
				
				
				",1
"영화는  ㅋㅋ 그때나도 저기땅을 조금잇엇으면하는조그만 소망을갖고싶게하는 영화(24살입니다) 
			
			
			
				
				
				
				",0
"김래원씨 너무 좋아해서 믿고 본다! 
			
			
			
				
				
				
				",0
"현실적이지만 찝찝한 결말...그나저나 이민호가 이렇게 연기를 잘했나  놀라웠다. 
			
			
			
				
				
				
				",0
"믿고 보는 배우 김래원 역시 최고!! 
			
			
			
				
				
				
				",0
"평점이별로안좋아서기대없이봤는데볼만했음 일단남주들이연기를잘하니 그것만으로도 플러스 특히 김래원!연기개쩜ㄷㄷㄷㄷ 
			
			
			
				
				
				
				",0
"뭐.. 그냥 쫌 그래. 아쉽네 
			
			
			
				
				
				
				",0
"어차피 늘 배신만 난무한 조폭영화지만 그 시대의 정치적 흐름도 보여주었다는 점에서 괜찮은 영화였다. 
			
			
			
				
				
				
				",0
"강남이 얼마나 더럽고 추악하게 만들어진 곳인지 명백히 보여주는 영화 
			
			
			
				
				
				
				",0
"생각보다 많은 것을 생각하게 하는 영화 
			
			
			
				
				
				
				",0
"김래원연기살아잇네 민호랑 역할을바꿔으면더조앗을걸,,, 
			
			
			
				
				
				
				",0
"잼잼 볼만함니다ㅎㅎ... 
			
			
			
				
				
				
				",0
"영화도 재미있고, 배우들 연기도 진짜 최고! 근데 유하감독 영화는 왜 자꾸 주인공들을 죽이는지 ㅠ 
			
			
			
				
				
				
				",0
"떨현이 연기는 별로. 김래원 비중이 적어서 별로. 김지수는 멀쩡히 살아서 더 별로. 유하 영화는 항상 다 보고 나면 기분이 개 ㅈ같아짐 
			
			
			
				
				
				
				",0
"울 설현이 매 맞는거 보니 마음이 아프다 ㅎ 
			
			
			
				
				
				
				",0
"결국 쓰레기는 나라일하는 사람이군!지금도 그런듯! 
			
			
			
				
				
				
				",0
"비열한거리의 결말을 보는것같다. 같은편도 믿을게못됨 
			
			
			
				
				
				
				",0
"멋잇음    후회안함요  졸섹시행 ㅠㅠㅠ 
			
			
			
				
				
				
				",0
"끝맺음은  돈과 권력이 많은 사람만 살아 남는다 ㅋ 
			
			
			
				
				
				
				",0
"재밌게 잘 봤어요!!!! 
			
			
			
				
				
				
				",0
"김래원 아저씨를 믿고 영화봤는데 역시 연기를 잘하시네요~이민호씨도 굿!! 
			
			
			
				
				
				
				",0
"한국판 갱스오브뉴욕이랄까 근데 누욕보다 더더럽다 서울이 
			
			
			
				
				
				
				",0
"김래원한테실망한그득 ㅡ  기대가좀컸나봐요 
			
			
			
				
				
				
				",0
"재미짐앜캌아 캌앛삿샷 
			
			
			
				
				
				
				",0
"살인의뢰를 보고 본 강남1970.너무 재미있었다!! 
			
			
			
				
				
				
				",0
"점수 구리게 주는년들 이해가 안가네 나는 진심 재미있게 봤다. 
			
			
			
				
				
				
				",0
"땅값 올리려고 애쓰는 영화(왜? 내가 틀린 말 했니?) 
			
			
			
				
				
				
				",0
"여러번 봐도 재밌다. 이민호 정말 멋있구나~ 
			
			
			
				
				
				
				",0
"땅종대돈용기그래끝까지가보자 ㅡ요게 핵심ㅡㅋ 나름 액션이 좋아서  잘봤음 ㅡ 
			
			
			
				
				
				
				",0
"땅졸부 이야기도 조금 넣었음 더 좋았을껄... 정치적이야기만...ㅎㅎ 
			
			
			
				
				
				
				",0
"쟘있게 잘 봤어요  최고 짱 
			
			
			
				
				
				
				",0
"김래원, 이민호 둘다 멋잇다.... 
			
			
			
				
				
				
				",0
"영화로서는 그저그렇다 강남이 얼마나 더럽게 만들어졌는지 짐작할수있는 영화다 
			
			
			
				
				
				
				",0
"재미있게 잘 봤습니다. 아쉬운점은 여동생의 결혼 이야기를 빼는 것이 더 좋지 않았나. 영화 줄거리와 크게 관계 없는 것 같기고 하고... 여동생과 종대와의 가족애를 느낄만한 다른 스토리를 집어 넣었으면 더 좋지 않았을까?? 이렇게 생각됩니다 
			
			
			
				
				
				
				",0
"평론가 평점을 봤다. 강남이 뭔지도 모르고 판자촌이 날린 이유도 모르는20대 평론가가 날리는 평론....꺼꾸로 그들에게 뭍고 싶다.  당신이 놀러오는 강남이 어떻게 만들어 졌는지....이영화는 그 사실에 10%만현실화 했을뿐이다. 
			
			
			
				
				
				
				",0
"잘봣음ㅋㅋ 꾀잘만든영화같어 
			
			
			
				
				
				
				",0
"좋았어요..할 얘기가 많아 약간 어수선 했지만 그래도 좋았어요 
			
			
			
				
				
				
				",0
"지금을 살고 있는 저에겐 지난 시대에 대한 미안함이 느껴지는 영하입니다. 
			
			
			
				
				
				
				",0
"기대는 거의 않고 봤는데 의외의 괜찬은 영화였습니다 관객수가 영화 수준에 비해서 적은게 이상할정도 재미도 있고  액션씬의 비중이 한국영화 치고 상당히 많더군요 배우들 얼마나 고생하셨을지 
			
			
			
				
				
				
				",0
"강남이 만들어 지는 과정.... 이민호 김래원 짠하면서마지막은 먼거 허전하고 공허함... 그래도 액션 씬대박 
			
			
			
				
				
				
				",0
"단순한 양아치영화라고 보기엔 의미가 있는 영화네...이민호는 유덕화보다 더 멋있게보이네.... 
			
			
			
				
				
				
				",0
"여러가지의 욕망과  가장큰 폭력은 권력을 가진 자들이 휘두른다는 걸 또 한번 알게 되었습니다. 주조연들의 캐릭터 소화 능력은 나무랄 곳이 없었고 조연들의 탄탄한 연기도 영화 전체에 잘 녹아 나무랄 것이 없었던 것 같습니다. 
			
			
			
				
				
				
				",0
"내용이 그지같아그렇지 훈훈하네 이민호가 의외야 김래원이 가려지다니 우리나라감독들 사시미 참좋아해 
			
			
			
				
				
				
				",0
"두 배우 연기 진짜 너무 멋지네요~ 여운이 오래 남아요 
			
			
			
				
				
				
				",0
"그냥 조폭영화가 아닌 메세지가 담긴 영화네요 잘봤어요 
			
			
			
				
				
				
				",0
"다 좋은데 마지막은 좀 억지 같은 느낌이 들었네요...마지막만 빼고는 내용 전계도 좋고 괜찬았어요...볼만한 영화임.. 
			
			
			
				
				
				
				",0
"좋은 소재를 꽤 실감나게 만든것 같다.범죄와의 전쟁이랑 비슷한 내용인데 힘이 좀 부족한듯 싶어 아쉽다. 
			
			
			
				
				
				
				",0
"이민호의 진화. 티켓값 아깝지 않은 영화 
			
			
			
				
				
				
				",0
"강렬하고 재밌었습니다 끝이 정말 안타깝네요... 
			
			
			
				
				
				
				",0
"성괴랑 떡치는 연기는 압권이네 허리돌리기 예술임 
			
			
			
				
				
				
				",0
"재밌게 봤네. 이정도면 준수한 영화지 뭘 더 바래~ 
			
			
			
				
				
				
				",0
"이민호 김래원의 명품연기와 액션 더불어 지루하지 않을 노출씬까지... 마지막에 너무 허무하게 끝난거 같아 슬프네요ㅠㅠ 
			
			
			
				
				
				
				",0
"나름 남자냄새가 나는 영화였음 
			
			
			
				
				
				
				",0
"간만에 막장 한번 재대로  보네~  이민호 액션도 좋네~! 근데 강사장은 점  아닌듯 술이면 술 이고 물이면 물이던가?? 
			
			
			
				
				
				
				",0
"14년 前  영화  '친구'  만큼의 임팩트, 그리고 감동  ! ! !  최고였습니다. 
			
			
			
				
				
				
				",0
"연기도 좋고 스토리 좋고 연출도 좋지만 .. 뭔가 뒤끝이 더러운느낌 
			
			
			
				
				
				
				",0
"조연들도 연기 훌륭하고, 갬래원이야 뭐 OOO 짭밥이니깐 인정. 하지만 꽃남자 같은 쓰렉물에서 허우대 빼곤 검증된적 없는 이민호..난 그를 인정하지도 좋아하지도 않았다. 하지만 여기에서 그의 대사와 눈빛은..조금의 과장, 오버도 없이 완벽 그 자체다! 
			
			
			
				
				
				
				",0
"억지감동이 없어서 좋았다 
			
			
			
				
				
				
				",0
"결핍에 의한 욕망과  '정'의 연약함 인간의 양면적인 모습.. 그리고 너무 쓸쓸한 눈빛 
			
			
			
				
				
				
				",0
"간만에 재밌는 영화봤습니닷 
			
			
			
				
				
				
				",0
"왜 출연자에 김지수 없나요 이상하네 이름없는배우도 아닌데 
			
			
			
				
				
				
				",0
"강남70봤는데.. 김래원 연기하며 이민호연기하며 모두좋았습니다. 새로운 조직꼐의영화라.. 흠 스토리도괜찮고 재미도있긴있었지만 슬픔그자체였다는사실이  강남70진짜 보고싶었는데 보고나니 이제서야 평점을남기네융 글고 제가기대하고본만큼 훌륭하다고봅니다. 
			
			
			
				
				
				
				",0
"무난하게 볼만했습니다...두 남자 주인고 연기도 좋고.. 
			
			
			
				
				
				
				",0
"이민호 따뜻한 연기가 독보임 
			
			
			
				
				
				
				",0
"연기력을 떠나서 이런류의 영화는 흥미진진 
			
			
			
				
				
				
				",0
"돈이아깝지않은영화 이런게영화지 
			
			
			
				
				
				
				",0
"잔인한 세상에 발버둥치지만 결국 이용당하고 버려지는 모습이 씁쓸하네요.. 행복을 꿈꾸었지만 시대상과 욕심에 의해 파극에 치닫게 되는 두 청년이.. 
			
			
			
				
				
				
				",0
"이민호나 김래원등 주연배우들 연기가 좋았음...마지막 장면이 인상적임 
			
			
			
				
				
				
				",0
"티스토어로 봤는데... 극장가서 볼걸 아쉽네요..보통 여자친구랑 영화를 보는데 무슨 야동 수준이니 해서 민망할듯해서 안갔는데 수위가 그정도도 아니었고 나쁘지않았네요.. 평점보거 안봤는데 ㅜ 
			
			
			
				
				
				
				",0
"진짜 재밌다 꼭 봐라 겁나 재밌어 
			
			
			
				
				
				
				",0
"유하감독님 작품이라 믿고 봤어요.  아 늠 조음. 
			
			
			
				
				
				
				",0
"개인적으로 너무 감명깊게 봤네요 한 장면도 그냥 지나치질 못했습니다우리 강사장님 하신 말씀을 들었어야 했다 싶으면서도 어쩔수 없는 야박한 현실에 함께 고개숙이게 되덥디다영화이고 옛 시절인데 참 현실적이다.. 라는 생각이 들었습니다.. 
			
			
			
				
				
				
				",0
"영화 괜찮은데 평점 테러하는 모양이군 1점 퍼센트만 높아지는거 보니ㅉㅉ이민호의 재발견이다 
			
			
			
				
				
				
				",0
"해피엔딩이 너무 좋았다 
			
			
			
				
				
				
				",0
"과하게 야하지도 않았고 과하게 잔인하지도 않았고... 내용은 모르겠으나 배우들 연기하나는 최고 
			
			
			
				
				
				
				",0
"아이러니한 현실 영화같지만 현실 그 속에 감성 
			
			
			
				
				
				
				",0
"적당한 스토리 적당한 액션 적당한 에로 ㅎㅎ 삼박자가 적당하다 
			
			
			
				
				
				
				",0
"완전꿀잼꿀잼!!ㅠ 이민호김래원...이미기대하고봣지만 역시기대를져버리지않앗어..ㅠ처음과마지막장면에강남의모습을보여준거 인상깊엇음.. 종대 용기 리얼한표정 내면연기 너무멋졋음 70년대 권력에 죽고죽이던  찐하게 여운이 남는영화입니다! 이민호 김래원짱짱맨♡ 
			
			
			
				
				
				
				",0
"역시 아무도 믿지 못하는 비열한 세계... 입관식 집단싸움은 여태껏 영화중 최고였다. 
			
			
			
				
				
				
				",0
"토사구팽 가차없이 버려지는 존재들 
			
			
			
				
				
				
				",0
"영화나 배우 자체는 괜찮았지만 개인적으로 조금은 지루했다비열한거리와 말죽거리를 너무 재밌게본듯 
			
			
			
				
				
				
				",0
"용기에  대한 사연이 추가 됐다면 더 짜임새 있는 영화가 됐을텐데 아쉽다. 그래도 이 영화를 통해 김래원이라는 배우를 다시 보게 돼 기쁘다. 
			
			
			
				
				
				
				",0
"김래원 이민호 둘 다 짱근데영화가다배신이야 ㅜ이민호라도살지 ㅜ ㅜ 
			
			
			
				
				
				
				",0
"두번봤어요 꿀잼 배우들연기굿 스토리굿 배드신굿 땅놀이굿 
			
			
			
				
				
				
				",0
"통수에 통수... 유하감독만의 특징이 잘 묻어있는것 같다.액션 좋고 bgm도 인상적이다. 마지막 새드엔딩이 아쉽다. 
			
			
			
				
				
				
				",0
"빠른 전개를 잘 캐치할 수 있다면 8.5점 정도는 되는 영화라 생각됩니다. 연기도 좋았고, 전체적으로 쓸쓸한 분위기도 괜찮았어요. (남자인 제가 봐도 이민호 너무 멋있네요. 이민호 연기 다시 봤습니다) 
			
			
			
				
				
				
				",0
"볼만했는데 이민호는 역시 욕도 어색하고 귀티나는 캐릭터라 밑바닥 캐릭터가 좀 안어울리네요 
			
			
			
				
				
				
				",0
"진짜재밌었음 ㅠㅠ 연기도 좋고 스토리도 재밌고 ㅠ 
			
			
			
				
				
				
				",0
"느와르를 만들고 싶었으나 그냥 머리끄댕이 잡고 싸우는 양아치와 깡패 이야기 
			
			
			
				
				
				
				",0
"지루하고딱딱할껏만같아서 보기꺼려졋엇는데ㅜㅜ왠걸진짜연기파배우들에탄탄한스토리까지너무좋았는데 아이돌설현때문에방해되고 자꾸영화퀄리티가떨어져보이는건기분탓인가요 
			
			
			
				
				
				
				",0
"김래원 캐리각인줄 알았는데 뜬금 이민호가 해내네 
			
			
			
				
				
				
				",0
"우와 진짜 최고 !! ㅇㄴㅇㄹ 
			
			
			
				
				
				
				",0
"평론가뇬들 점수봐라 폭력어쩌고 저쩌고 ㅋㅋ 노답이네 
			
			
			
				
				
				
				",0
"이민호 다시 봤습니다. 현실성 있는 작품이라 보기좋았습니다. 의원들 대통령후보들 찔리는것들 많겄다. 
			
			
			
				
				
				
				",0
"저질스러운 깡패영화지만, 나의 밤을 잔잔히 적시는 ost는 만점이었다 
			
			
			
				
				
				
				",0
"이민호 잘생겼구나.결말이 아쉬웠지만 잼있어요 
			
			
			
				
				
				
				",0
"굿너무  재밋어요 ~!!@#$% 
			
			
			
				
				
				
				",0
"진짜 신세계 다음 뒤를 이을 영화임 ㅋㅋ 기대없이 봣는데 개꿀잼이다;; 진짜 이건 진짜 말이안나옴 ㅋㅋㅋㅋ 
			
			
			
				
				
				
				",0
"재미써숑완전핫하네모시 
			
			
			
				
				
				
				",0
"쓰디쓴 아픔에서오는 안타까움이... 여운에 남네요 
			
			
			
				
				
				
				",0
"저때 강남에 땅 샀으면 지금 이런 댓글 안쓰고 있겠지 ... 
			
			
			
				
				
				
				",0